category,question,answer
LANの冗長化,複数のL2スイッチをループ状に循環する構成にすると、どういう不具合事象が発生するか。その事象を何と言うか。,フレームがループし無限に流れ続け、通信ができなくなる。これをブロードキャストストームという。
LANの冗長化,ブロードキャストストームはなぜ発生するのか、スイッチングハブのフレームの転送の機能を考えて説明せよ。,スイッチングハブは受け取ったフレームを別のポートから出力する。ブロードキャストフレームは無条件で転送するので、ループ構成の中を永遠と回り、ブロードキャストストームになる。
LANの冗長化,ブロードキャストストームが起こるのは、どのようなフレームによるものか。また、それ以外のフレームでは発生しないのか。,事象が起こるフレームは、ブロードキャストのフレーム。それ以外のユニキャストやマルチキャストでは基本的にはループによるブロードキャストストームは起こらない。
LANの冗長化,STPはどのレイヤのプロトコルか。,データリンク層
LANの冗長化,スイッチにて、STPを有効にする目的を2つ述べよ。,ループの回避、信頼性向上（冗長性の確保）
LANの冗長化,STPにてループを検出するために利用するフレームを何と言うか。,BDPU
LANの冗長化,BPDUを送るのは誰か。,ルートブリッジ
LANの冗長化,BPDUを使って、どうやってループを検出するのか。,ループ状になっていなければ、BDPUを1つの経路から受け取らない。一方、複数の経路からこのBDPUが届けばループ状になっていることがわかる。
LANの冗長化,STPにおけるルートブリッジの決定には、何と何を使うか。また、MACアドレスの大きい方と小さいほうどちらが優先されるか。,ブリッジの優先度とMACアドレス。小さい方。
LANの冗長化,STPの状態には、ブロッキング、リスニング、ラーニングとあと1つは何か。,フォワーディング
LANの冗長化,古くからあるSTPの場合、STPによる経路の切り替えには最大で何秒ほどかかるか。,約50秒
LANの冗長化,STPを設定したスイッチには、各ポートにルーとポート、指定ポートおよび非指定ポートのいずれかの役割を決定する。ルートブリッジであるL3SWでは、すべてのポートが何ポートになるか。,指定ポート
LANの冗長化,STPより障害時の復旧を高速化できるIEEE 802.1D-2004で指定されているプロトコルは何か。,RSTP
LANの冗長化,リンクアグリゲーションを設定する目的を2つ述べよ。,帯域拡大と冗長化
LANの冗長化,リンクアグリゲーションを使わずに、高速な回線を使わないのはなぜか。,10Gbpsなどのインタフェースが高額であること、また冗長化ができるので1本のケーブルで構成するよりも信頼性を高められる。
LANの冗長化,STPと比べた、リンクアグリゲーションの利点を2つ述べよ。,障害時の中断時間が短い、帯域拡大ができる。
LANの冗長化,リンクアグリゲーションにおいて、動的に確立させるプロトコルは何か。,LACP
LANの冗長化,リンクアグリゲーションを静的に設定する方法に比べた、LACPの利点は何か。,対向の機器の状態を確認できる。
LANの冗長化,2台のスイッチングハブをスタック接続することによる利点を述べよ。,ポートの拡張ができる、リンクアグリゲーションなどと組み合わせることで機器の冗長化および帯域の拡大ができる。
LANの冗長化,2台以上のスイッチングハブをスタックで接続する場合、スイッチングハブの間をどんなケーブルで接続するか。,主に専用ケーブル
LANの冗長化,スタック接続した場合、IPアドレスや設定情報はどうなるか。別々か共通か。,Configは2台で1つ。よってIPアドレスも2台で1つ。
MACアドレスとARP,1台のPCにMACアドレスはいくつあるか。,基本的にはNICの数だけ存在する。
MACアドレスとARP,PCやサーバに2つのNICがあっても、両者で1つのMACアドレスを使う場合がある。それはどんなときか。技術名を答えよ。,チーミング
MACアドレスとARP,1つのスイッチングハブに異なるセグメントのPCを接続した場合、通信はできるか。,同一セグメントのPC間に限り通信が可能。
MACアドレスとARP,スイッチングハブは異なるセグメントのPCのフレームをどう処理するか。,スイッチングハブはフレームを転送するだけであり、どのセグメントなのかを意識しない。なので複数のセグメントが混在しても通信は可能。ただし、異なるセグメントのPCと通信する場合はルーティングの処理が必要である。
MACアドレスとARP,MACアドレス認証がセキュリティ的には不十分である理由を2つ述べよ。,MACアドレスは盗聴可能だから、MACアドレスは任意のものに書き換えることができるから。
MACアドレスとARP,セキュリティ面で不安があるなら、なぜMACアドレスを暗号化して通信しないのか。,MACアドレスは通信相手を記載しているので、仮にMACアドレスを暗号化してしまったら、そもそも通信ができなくなる。
MACアドレスとARP,MACアドレスの前半24bitは何と言うか。また何ごとの番号であるか。,OUI、製造者。
MACアドレスとARP,ARPテーブルでは、何と何の対応を保持するか。,IPアドレスとMACアドレス
MACアドレスとARP,ARPテーブルを更新するためのパケットを何と言うか。,GARP
MACアドレスとARP,VRRPにおいて、FW1が故障してFW2がアクティブになったときARPテーブルをどう書き換えるべきか。,ARPテーブルを書き換える必要はない。
MACアドレスとARP,GARPはARPテーブルを書き換えるのにも利用されるが、VRRPのマスタルータがルータ1からルータ2に切り替わったとき、バックアップルータに接続されているスイッチの何を書き換える際に利用されるか。,MACアドレステーブル
DHCP,DHCPサーバに設定する主な情報は何か。,払い出すIPアドレスの範囲、デフォルトゲートウェイ、DNSサーバ、サブネットマスク
DHCP,DHCPサーバのメリットとして、払い出したIPアドレスや端末をDHCPサーバにてどう管理できるというメリットがあるか。,一元管理
DHCP,PCがDHCPサーバからネットワーク情報を取得する際、4つのメッセージは何か。,DHCPディスカバ、DHCPオファー、DHCPリクエスト、DHCPアック（ＡＣＫ）
DHCP,DHCPリクエストはどういう通信で送信されるか。,ブロードキャスト
DHCP,PCからDHCPリクエストをルータ等が中継する仕組みを何と言うか。,DHCPリレーエージェント
DHCP,DHCPサーバは複数のセグメントからIPの要求が来た場合、払い出すIPはどうやって決めるのか。,DHCPリレーエージェントとなるルータはDHCPブロードキャストを受信したインタフェースのIPアドレスを含めて、DHCPサーバにDHCPサーバにDHCPリクエストを転送する。DHCPサーバはそのIPアドレスと同一セグメントのIPアドレスを払い出す。
DHCP,DHCPスヌーピングはDHCPのパケットをスヌーピングし、不正な通信をブロックする機能であるが、具体的に禁止する不正な接続を2つ述べよ。,不正なDHCPサーバを勝手に設置して端末にIPアドレスを払い出すこと、PCに固定でIPアドレスを割り当てること。
DHCP,不正なDHCPサーバを勝手に設置することを防ぐために、スイッチではDHCPスヌーピングの設定をして正規のDHCPサーバを接続するために何を指定するか。,ポートの拡張ができる、リンクアグリゲーションなどと組み合わせることで機器の冗長化および帯域の拡大ができる。
DHCP,DHCPスヌーピングでは、正規のDHCPサーバからIPアドレスを割り当てたPCだけ通信させるが、PCの特定は何で行うか。,MACアドレス
DNS,PCからwww.seeko.comというWebサーバに通信をするとき、最初に送られるフレームはどこからどこへのどんなフレームか。,PCからのデフォルトゲートウェイへのARP
DNS,DNSサーバに問合せを行うクライアントPCのソフトウェアを何と言うか。,リゾルバ
DNS,http://www.seeko.comのwww、seeko.com、www.seeko.comをそれぞれ何と言うか。,ホスト名、ドメイン名、FQDN
DNS,DNSは多数のDNSサーバで構成される分散型データベースであり、何サーバと呼ばれるサーバを頂点としたツリー構造になっているか。,ルートDNS
DNS,ゾーン転送の流れを最初にパケットを送るのが誰かを含めて説明せよ。,まずセカンダリDNSサーバからプライマリDNSサーバへゾーン転送を要求する。ゾーン情報が更新されていた場合にゾーン転送を行う。
DNS,ゾーン転送の流れにおいて、プライマリDNSサーバの設定が変更されたとしてもリアルタイムには反映されない。それを解決する更新通知は何か。,NOTIFYメッセージ
DNS,DNSキャッシュサーバは名前解決を最後まで行うことが一般的なので、何リゾルバと呼ばれるか。,フルリゾルバ
DNS,www.seeko.comというWebサーバのIPアドレスが203.0.113.123である場合のDNSゾーンファイルの設定を書け。,www.seeko.com. IN A 203.0.113.123
DNS,seeko.comドメインのメールサーバがmx1.seeko.comとmx2.seeko.comの2つがある場合、DNSゾーンファイルの設定を書け。,seeko.com. IN MX 10 mx1.seeko.com.やseeko.com. IN MX 20 mx2.seeko.com.
DNS,www.example.comというホストにweb.seeko.comという別名をつける場合、DNSゾーンファイルの設定を書け。,web.seeko.com. IN CNAME www.example.com.
DNS,DNSラウンドロビンによって、サーバの負荷分散をする。WWWサーバを10.1.1.1と10.1.1.2のIPアドレスを持つサーバに対応させる。このときのDNSゾーンファイルの設定を書け。,www IN A 10.1.1.1やwww IN A 10.1.1.2
DNS,DNSサーバは可用性を高めるためにマスタDNSサーバとスレーブDNSサーバを2台以上設置する必要がある。VRRPのプロトコルを使った冗長化と比べたDNSの冗長化方式の違いを述べよ。,DNSでは複数台のサーバがActiveとなる。VRRPでは1台だけがActiveとなる。DNSでは設定情報をマスタDNSサーバからスレーブDNSサーバにコピーする。VRRPは両方に設定情報を投入する必要がある。
DNS,DNSサーバの中でドメイン情報を持つDNSサーバを何DNSサーバというか。（または権威DNSサーバ）,コンテンツDNSサーバ
DNS,ドメイン情報は持たず、PCからの問い合わせに対してコンテンツDNSサーバに情報を問い合わせて回答するのは何DNSサーバと呼ばれるか。,キャッシュDNSサーバ
DNS,PCのネットワークの設定で、IPアドレスやサブネットマスク以外に、DNSサーバを指定する。このDNSサーバは何DNSサーバを指定するか。,キャッシュDNSサーバ
DNS,フルリゾルバとスタブリゾルバに該当する具体的なものを答えよ。,フルリゾルバの代表はキャッシュDNSサーバ、スタブリゾルバの代表はクライアントPC
DNS,フルリゾルバが行うのは自分で調べて回答することである。すべてのドメインの名前解決を行うことができることから「フル」という名がついている。では、フルリゾルバが行う問い合わせは「反復問合せ」と「再帰問合せ」のどちらか。,反復問合せ
DNS,キャッシュDNSサーバの目的を答えよ。,DNSの問合せの高速化やDNS問合せトラフィックの減少。
DNS,コンテンツDNSサーバとDNSキャッシュサーバを分けることで、セキュリティを高めることができる。この2つのサーバをネットワーク上にどのように配置するか。どちらかにはDMZという言葉を入れて答えよ。,コンテンツDNSサーバはDMZに配置し、キャッシュDNSサーバは内部LANに配置する。
DNS,セキュリティの観点からコンテンツDNSサーバとキャッシュDNSサーバで、DNS問合せに対する応答をどのように制限するか。,コンテンツDNSサーバのフルリゾルバ機能は無効にする。キャッシュDNSサーバは社内のPCからのDNS問合せのみを受け入れる。
DNS,内部DNSサーバは内部LANのゾーン情報を管理し、当該ゾーンに存在しないホストの名前解決要求は外部DNSサーバに転送する。このときの内部DNSサーバを「転送」という観点から何と呼ぶか。,フォワーダ
DNS,DDoS攻撃の一種で送信元IPアドレスを偽装した問合せをDNSサーバに送り、DNSサーバからの応答を攻撃対象のサーバに送信させる手法を何と言うか。,DNSリフレクタ攻撃
DNS,DNSサーバに偽りのDNS情報を入れ、利用者に偽りのサイトにアクセスさせる攻撃を何と言うか。,DNSキャッシュポイズニング
DNS,DNSキャッシュポイズニングでは、DNSの問い合わせに関して偽りのサーバからではなく、正規のDNSサーバからも正しい応答が返る。つまり、DNSの問合せをしたPCには2つの応答が届く。PCではどのようにその情報を処理するか。,先に届いた情報を正しいと判断する。
DNS,DNSキャッシュポイズニングでは、問合せをしたPCに対してIPアドレスやポート番号を正しく偽装する必要がある。しかし攻撃者は正規の問合せIDを知る術がない。どうやって攻撃を成功させているか。,すべての問合せIDを付与してパケットを送信する。
DNS,DNSキャッシュポイズニングの対策にはどんな方法があるか。,送信元ポート番号のランダム化、DNSサーバの構成変更、DNSSEC
TCPとHTTP,OSI参照モデルの2～4層を答えよ。,データリンク層、ネットワーク層、トランスポート層
TCPとHTTP,UDPプロトコルを使うアプリケーションを述べよ。,SNMP、NTP、DNS、SNMP、DHCP、TFTP
TCPとHTTP,TCPヘッダの中でパケットの順番を管理するための番号は何か。,シーケンス番号
TCPとHTTP,シーケンス番号と確認応答番号はどういう値を返すか。,シーケンス番号は確認応答番号そのままの値で、確認応答番号はシーケンス番号に1加えた値である。
TCPとHTTP,HTTPやSMTPなどのTCPで動作するプロトコルは事実上IPアドレスを詐称することはできない。その理由を述べよ。,IPアドレスを偽装すると、3ウェイハンドシェイクが成功しないから。
TCPとHTTP,IPパケットの最大サイズを何と言うか。また通常は何バイトであるか。,MTU、1500
TCPとHTTP,DoS攻撃は何のIPアドレスを偽装して行われるものか。,送信元IPアドレス
TCPとHTTP,DoS攻撃において、攻撃者はなぜIPアドレスを偽装するのか。,自分の身元を明かさずに攻撃をするため、FWなどのフィルタリング機能で簡単に防御されないため。
TCPとHTTP,送信元IPアドレスを偽装し、ICMPの応答パケットを大量に発生させ、それが攻撃対象に送られるようにするDDoS攻撃を何と言うか。,スマーフ（smurf）攻撃
TCPとHTTP,SYNフラッド攻撃は何らかの方法で〇〇パケットが攻撃対象のホストに届かないようにすることで、ホストに未完了の接続開始処理を大量に発生させる攻撃である。,ACK
TCPとHTTP,DNSリフレクタ攻撃はどのように実施されるか。IPアドレスを踏まえて答えよ。,送信元IPアドレスを攻撃対象のサーバのIPアドレスに偽装して、DNSサーバに問合せを送信する。
TCPとHTTP,DNSリフレクタ攻撃では攻撃を効果的にするために、応答パケットのサイズが大きくなるような問合せを行う。一般的にはDNSの何レコードを問い合わせるか。,TXT
TCPとHTTP,HTTPサーバからの返信であるHTTPレスポンスに含まれる3桁の数字を何と言うか。,HTTPのステータスコード
TCPとHTTP,HTTPステータスコードに関して、リクエストが成功したことを示す値を答えよ。,200
TCPとHTTP,HTTPのステータスコードの中で、404は指定されたページがないことを意味する。302は何を意味するか。,リダイレクト
TCPとHTTP,HTTPには、GETやPOSTなどいくつかのメソッドがあるが、HTTPSの場合PCがプロキシサーバに対して利用するメソッドは何か。,CONNECTメソッド
TCPとHTTP,CONNECTメソッドを使うことによって、HTTPSの通信をプロキシサーバはどのように処理するか。,HTTPSの場合PCのブラウザとWEBサーバの間では暗号化通信をする。しかしプロキシサーバでHTTPSの中継処理をしようにも暗号鍵が分からないので暗号を解くことができない。そこでPCはCONNECTメソッドを使うことでプロキシサーバによる中継をせずにそのまま何もせずに通過させるように依頼する。
TCPとHTTP,HTTPのヘッダのフィールドの1つであるXFF（X-Forwarded-For）ヘッダはどんなときに使うか。,送信元の端末のIPアドレスを特定したいとき。
TCPとHTTP,電子商取引サイトのようにWebサーバにユーザがログインしてからログアウトするまでログイン情報を保持したままページを遷移する場合を考える。クライアントとサーバ間でログインの情報を保持し、管理する仕組みを何と言うか。,セッション管理
TCPとHTTP,セッションに似た概念である、TCPコネクションとは何か。,TCPコネクションは3ウェイハンドシェイクが行われる一連の通信のこと
TCPとHTTP,セッション管理でよく利用される、クライアントとサーバ間で保持される情報は何か。,クッキー（Cookie）
TCPとHTTP,クッキー（Cookie）を作成するのはクライアントとWebサーバのどちらか。,WEBサーバ
TCPとHTTP,クッキー（Cookie）において、WebサーバはHTTPレスポンスのどのヘッダフィールドにセッションIDを書き込むか。,Set-Cookieヘッダフィールド
TCPとHTTP,クッキー（Cookie）において、secure属性が含まれるとどうなるか。,暗号化された通信（HTTPS）の場合にのみCookieを送る。HTTP通信の場合はCookieを送らない。
TCPとHTTP,HTTP1.1の問題点を解消し、1つのTCPコネクションで複数のファイルを同時にやりとりできるようにしたプロトコルは何か。,HTTP/2
メール,メール送信プロトコルであるSMTPには認証機能がない。この点を改良して認証を行うプロトコルは何があるか。,POP before SMTPとSMTP AUTH
メール,SMTP AUTHはSMTP通信においてユーザ名とパスワードで認証を行う。SMTP AUTHはこのあとの迷惑メール対策で解説するOP25Bでも利用される技術でポート番号は何番か。,587
メール,SMTP over TLSは非暗号のSMTPの通信をTLSを用いて暗号化するものであるが、ポート番号は何番が使われるか。,465
メール,POP3を改良したメールプロトコルでポート番号143番を使うプロトコルは何か。,IMAP
メール,SMTPのセッションの開始を表すコマンドはHELOまたはEHLOである。送信元メールアドレスの通知と宛先メールアドレスの通知をするコマンドは何か。,MAIL FROMとRCPT TO
メール,MAIL FROMとRCPT TOに入れられた送信元メールアドレスと宛先メールアドレスの情報は封筒という意味で何情報と呼ばれるか。,エンベロープ
メール,迷惑メールの送信者などの攻撃者は送信元を分からなくするために、踏み台となるメールサーバを中継させる。メールサーバは他社から他社へのメールを転送する必要はないが、誤ってそれを可能にしてしまっている場合がある。誰もがメールを中継できるという意味でこの状態は何と言われるか。,オープンリレー
メール,メールの踏み台の対策を自社のメールサーバで行う。具体的にはどのような設定を行うか。（ヒント：踏み台にされるということは、外部の送信元から外部の宛先への転送に自社のメールサーバが利用される）,自社のメールアドレス宛以外のメールアドレスを中継処理しない。
メール,一般的なメール送信プロトコルであるSMTP（25番ポート）では認証をせずにメールを送ることができる。よって攻撃者が自分の身元を隠して大量の迷惑メールを送信できる。そこでメールサーバには〇〇という仕組みが導入される。これは〇〇IPアドレスのPCから外部（プロバイダの外）のネットワークへのSMTPの通信を禁止する。,OP25B、動的
メール,OP25Bを導入すると、外部（プロバイダの外）にメールをまったく送れなくなるのか。,そんなことはない、送信できる。
メール,仮にPCが外部のメールサーバを利用してメールを送信したい場合には587番ポートを使いSMTP-AUTHによって認証するがこのポートを一般的に何と言うか。,サブミッションポート
メール,なりすましメールを防ぐ方法として、送信ドメインを認証する方法がある。SPFはどのように認証をするか。,DNSサーバのTXTレコードに記載された送信メールサーバのIPアドレスと受信したパケットの送信元IPアドレスを比較する。
メール,SPFでは送られてきたメールアドレスに関して、Envelope-FROMとHeader-FROMのどちらを使って検証するか。,Envelope-FROM
メール,SPFの運用をするためにメールの送信側と受信側でそれぞれどんな設定が必要か。,送信側ではDNSサーバにTXTレコードを追加し、受信側ではメールサーバをSPF対応にする。
メール,迷惑メール対策として、送信側メールサーバでデジタル署名を電子メールのヘッダに付与して、受信側メールサーバで検証するものは何か。,DKIM
メール,メール受信側でのSPFとDKIMを利用した検証、検証したメールの取り扱い、および集計レポートについてのポリシを送信側が表明する方法は何か。,DMARC
ファイアウォール、IPS、WAF,アンチウィルス機能やURLフィルタリング機能などのセキュリティ機能を兼ね備えた、統合脅威管理機能を持つファイアウォールを何と言うか。,UTM
ファイアウォール、IPS、WAF,ファイアウォールの基本的な機能は特定のIPアドレスやポート番号の通信だけを許可する〇〇機能である。,パケットフィルタリング
ファイアウォール、IPS、WAF,ファイアウォールはネットワークをインターネットと〇〇と〇〇の3つの領域に分ける機能を持つ。,DMZ、内部セグメント
ファイアウォール、IPS、WAF,ファイアウォールではパケットのどの情報を用いてフィルタリングするのか。パケット構造を考えて答えよ。,IPアドレス、プロトコル、ポート番号
ファイアウォール、IPS、WAF,DMZ上のコンピュータがインターネットからのpingに応答しないようにファイアウォールのセキュリティルールを定めるとき、「通過禁止」に設定するプロトコルは何か。,ICMP
ファイアウォール、IPS、WAF,ファイアウォールには静的フィルタリングと動的フィルタリングがある。多くのファイアウォールでは動的フィルタリングが有効で、戻りのパケットは自動で許可される。また動的フィルタリングは別名で何と言われるか。,ステートフルインスペクション
ファイアウォール、IPS、WAF,ファイアウォールでは通過したパケットの状態を保持しておく必要がある。具体的にどのような情報を保持するか。参考までにこの情報のことをセッションまたはTCPコネクションなどと呼ぶ。,送信元IPアドレス、宛先IPアドレス、プロトコル、送信元ポート番号、宛先ポート番号などの組み合わせ
ファイアウォール、IPS、WAF,ファイアウォールは信頼性向上のために冗長化することがある。しかし、VRRPで冗長化することはせず、独自のプロトコルで行うことが一般的であるがこれはなぜか。,ステートフルインスペクションなどにより、動的にせしょん管理しており、そのセッションを維持するため
ファイアウォール、IPS、WAF,FWの間はフェールオーバリンクと呼ばれる専用の線で結ばれ、設定情報やセッション情報を同期する。仮にActiveの機器やインタフェースが故障したとしてもセッション情報を引き継ぐことでPCからインターネットへの通信を維持できるが、この機能は何と呼ばれるか。,ステートフルフェールオーバ
ファイアウォール、IPS、WAF,高度な攻撃を防ぐ仕組みにIDSとIPSがあるが、両者の違いは何か。,IDSは検知だけであり、IPSは防御までが可能である。
ファイアウォール、IPS、WAF,ファイアウォールとIDS/IPSでは、パケットを検査する場所が具体的にどう違うか。,IDS/IPSはデータの中身もチェックすることができる。
ファイアウォール、IPS、WAF,IDS/IPSはファイアウォールの外側（インターネット側）に設置するか、内側（DMZ側）に設置するか。理由とともに述べよ。,FWの内側に設置する。理由はFWの外に設置するとFWで許可しないパケットも含めて検査する必要があり、IDS/IPSに負荷がかかる。また、アラート、ログ、警告メールが大量になる。
ファイアウォール、IPS、WAF,IPSとIDSの検知方法の違いから、ネットワークにおける設置構成はどのような違いができるか。,IPSはパケットを防御するために通信経路上（インライン）に設置する。IDSもインラインに設置していいが、監視対象のネットワークにあるSWのミラーポートに接続することが多い。
ファイアウォール、IPS、WAF,IDSはインライン（通信経路上）に設置する必要がないだけではなく、なるべくインラインに設置すべきではない。それはなぜか。,通信経路上（インライン）に設置すると、仮にIDSが故障するとサーバへの通信が行えなくなる。また、SWのミラーポートに接続するだけであれば、ネットワークの構成変更が少ないというメリットもある。
ファイアウォール、IPS、WAF,IDSやIPSをインラインに設置する場合、機器の故障に備えどのような機能が求められるか。,通信をそのまま通過させ、遮断しない機能。
ファイアウォール、IPS、WAF,IDS自体に不正パケットを防止する機能を持ち合わせていない。そこでIDSは〇〇パケットを送り、コネクションんを切断することで防御することもできる。,RST
ファイアウォール、IPS、WAF,RSTパケットでコネクションを切断することで防御する方法は、トランスポート層の〇〇のときにだけ有効で〇〇のときには機能しない。,TCP、UDP
ファイアウォール、IPS、WAF,IDSは監視対象のネットワークにあるSWの〇〇ポートに接続し、IDS側のネットワークポートを〇〇モードにすることでIDS以外を宛先とする通信も取り込むことができる。また、IDS側のネットワークポートに〇〇アドレスを割り当てなければ、IDS自体がOSI基本参照モデルの第3層レベルの攻撃を受けることを回避できる。,ミラーポート、プロミスキャスモード、IPアドレス
ファイアウォール、IPS、WAF,WAFで主にプロックするアプリケーション層のプロトコルは何か。,HTTPとHTTPS
ファイアウォール、IPS、WAF,FWで防御できないが、WAFで防御できる攻撃の例として何があるか。,SQLインジェクション、クロスサイトスクリプティング
ファイアウォール、IPS、WAF,クラウドWAFを使う場合、Webサーバへの通信をクラウド事業者のWAF経由にするにはどのような設定をすればよいか。,DNSの設定で行う。具体的にはWebサーバに関するリソースレコードをWAFに向けるように設定する。
ファイアウォール、IPS、WAF,Webサーバへの通信をクラウド事業者のWAF経由にする際に、AレコードではなくCNAMEレコードを使うことが多いがそれはなぜか。,WAFサービス事業者がIPアドレスを変更したとしても、WAFサービスを利用している会社はDNSの設定を変更しなくてよいから。
ファイアウォール、IPS、WAF,X社のWebサーバがshop.asha.comで、WAFサービスのFQDNがwaf-asha.tsha.net（IPアドレスは203.0.113.12）の場合、WAFサービスを利用するためのX社のDNSレコードを記載せよ。,shop IN CNAME waf-asha.tsha.net
ファイアウォール、IPS、WAF,HTTPSで動作するWebサーバの場合、Webサーバの証明書をどこに配置すべきか。,クラウドWAFにWebサーバのサーバ証明書を配置する。
無線LAN,無線LANが利用できる周波数帯は〇〇と〇〇があり、全社は産業、科学、医療の分野で許可なく自由に使える帯域なのでISMバンドと呼ばれる。,2.4GHz、5GHz
無線LAN,AP（アクセスポイント）からクライアントに対して自分の存在を通知する信号のことを何というか。,ビーコン
無線LAN,周波数帯の2.4GHzを使うIEEE 802.11gの場合、1から13までの〇〇がある。例えば、〇〇が1の場合は2.412GHzを中心に20MHzの周波数の幅を持つ。,チャネル
無線LAN,"同様に2chは2.417GHzを中心、3chは2.422GHzを中心、と決められている。1,6,11の3つのチャネルを使えば電波が互いに〇〇することは少ない。",干渉
無線LAN,複数の電波が飛び交う無線の空間で、無線LANを識別するためのIDを何と言うか。,SSID
無線LAN,イーサネットではアクセス制御にCSMA/CDを利用するが、無線LANでは〇〇という方式を採用する。,CSMA/CA
無線LAN,無線LANが大規模になるにつれて、設定の一元管理などを目的として、〇〇を導入することが増える。,無線LANコントローラ（WLC）
無線LAN,無線LANコントローラ（WLC）には例えばどういう機能があるか。,APの構成と設定を管理する。APのステータスを監視する。AP同士の電波干渉を検知する。APの負荷分散制御、PMKの保持などによるハンドオーバ制御機能。利用者認証、認証VLANなどのセキュリティ対策機能
無線LAN,無線LANコントローラ（WLC）を導入した場合、無線APの役割は何か。,多くの場合、通信を（ただ）転送すること。
無線LAN,無線LANコントローラ（WLC）の動作モードに関して、「管理機能だけをWLCを行う」モードの利点は何か。,WLCに通信の負荷が集中するのを抑制することができる。認証後にWLCに障害が発生してもその無線LAN端末の通信は継続できる。
無線LAN,モバイルWi-Fiルータには、通信事業者が契約者を識別する情報が記録されている〇〇が挿入されている。,SIM
無線LAN,モバイルWi-Fiルータには、利用者IDやパスワードといった認証情報に加えて、LTE回線からインターネットへのゲートウェイの指定を意味する〇〇の情報を設定する。,APN
無線LAN,無線LANの規格は〇〇という電気電子学会が定めた規格である。,IEEE
無線LAN,電波の干渉を防ぐにはどうしたらいいか。,周波数を変える、チャネルを変える、距離を離す。
無線LAN,周波数が2.4GHz、帯域幅が20MHz、最大速度が11Mbpsである規格は何か。,11b
無線LAN,周波数が2.4GHz、帯域幅が20MHz、最大速度が54Mbpsである規格は何か。,11g
