question,answer,explanation,category
DASのストレージ接続に用いられるプロトコルとして、ATAの他に3つ挙げてください。,SATA、SCSI、SAS,DASのストレージ接続にはATA、SATA、SCSI、SASがプロトコルとして用いられます。,ネットワーク基礎とOSI参照モデル
DAS構成のデメリットは何か？,複数のサーバでストレージを共有できない,DASの構成では、複数のサーバでストレージを共有することができず、例えば、余っているストレージの領域を別のサーバで利用できないデメリットがあります。,ネットワーク基礎とOSI参照モデル
NASは何で構成されるか？,ハードディスク、LANインターフェース、簡易OS,NASは「ハードディスク、LANインターフェース、簡易OS」などで構成されます。,ネットワーク基礎とOSI参照モデル
NASは何専用機と言えるか？,ファイルサーバ,NASはファイルサーバ専用機と言えます。,ネットワーク基礎とOSI参照モデル
SANは、ストレージとサーバ間を何で接続したストレージ専用のネットワークか？,FC（ファイバチャネル）,SANは、ストレージとサーバ間をFC（ファイバチャネル）で接続したストレージ専用のネットワークのことです。,ネットワーク基礎とOSI参照モデル
SANを構築する際に、ファイバチャネルに何を使用するか？,光ファイバー,ファイバチャネルに光ファイバーを使用して、LANとは独立したストレージ専用のネットワークを構築します。,ネットワーク基礎とOSI参照モデル
SANのデメリットは何か？,導入コストが高い、導入に際して高度な専門知識が必要,SANではDASやNASに比べて導入コストが高いこと、導入に際して高度な専門知識が必要となるデメリットがあります。,ネットワーク基礎とOSI参照モデル
ネットワークトポロジーとは何ですか？,コンピュータネットワークの接続形態のことです。,ネットワークトポロジーは、PC、サーバ、スイッチ等の機器がどのような形で接続するのかを表します。物理トポロジーと論理トポロジーがあります。,ネットワーク基礎とOSI参照モデル
バス型トポロジーの特徴は何ですか？,1本のケーブルに複数のノードを接続している。,バス型トポロジーは、中心となる同軸ケーブルに障害が発生するとそれに接続する全てのノードが通信できなくなります。10Base2 / 10Base5など大昔のLAN規格で使用する物理トポロジーです。,ネットワーク基礎とOSI参照モデル
スター型トポロジーの特徴は何ですか？,1つの集線装置（ハブやスイッチ）に複数のノードを接続している。,スター型トポロジーは、1本のケーブルに障害が発生した場合でも他のノード通信に影響は出ませんが、集線装置に障害が発生すると全てのノードの通信に影響が発生します。今日のLANの主流のトポロジーです。,ネットワーク基礎とOSI参照モデル
拡張スター型トポロジーとは何ですか？,スター型トポロジーのハブに、さらに別のハブを接続するような構成。,スター型トポロジーのハブに、さらに別のハブを接続するような構成を拡張スター型トポロジーと言います。,ネットワーク基礎とOSI参照モデル
リング型トポロジーの特徴は何ですか？,ノードは論理的にリング状に接続され、トークンと呼ばれるデータがリング状を高速に巡回している。,リング型トポロジーにおいてはノードは論理的にリング状に接続され、トークンと呼ばれるデータがリング状を高速に巡回しています。このトークンを得たノードがデータを送信する事ができます。,ネットワーク基礎とOSI参照モデル
デュアルリング型トポロジーの特徴は何ですか？,もう1つの予備のリングを設けることにより、プライマリリングに障害が発生した場合でも通信を継続できる。,デュアルリング型トポロジーではもう1つの予備のリングを設けることにより、プライマリリングに障害が発生した場合でも通信を継続できる仕組みになっています。FDDI LANの論理トポロジーが代表例です。,ネットワーク基礎とOSI参照モデル
フルメッシュ型トポロジーの特徴は何ですか？,全てのルータと相互接続している。,フルメッシュ型の場合は、全てのルータと相互接続しており、特定のルータとのリンクに障害が発生した場合でも、他のルータとのリンクを介して、継続して通信できます。,ネットワーク基礎とOSI参照モデル
パーシャルメッシュ型トポロジーとは何ですか？,中心となるセンター側のルータや、一部のルータだけをメッシュ型にする。,フルメッシュ構成は耐障害性に優れていますが、物理トポロジーでフルメッシュにするとコストがかかってしまいます。そこで、中心となるセンター側のルータや、一部のルータだけをメッシュ型にするパーシャルメッシュにすれば、コストを抑えられて、そしてある程度の冗長性と耐障害性を維持することができます。,ネットワーク基礎とOSI参照モデル
トークンパッシング採用のLANで802.4 (解散）で使用するケーブルは何ですか？,同軸ケーブル,IEEE802.4 (解散）トークンバスで使用するケーブルは同軸ケーブルです。論理トポロジーはリング型、物理トポロジーはバス型です。,ネットワーク基礎とOSI参照モデル
トークンリングで使用するケーブルは何ですか？,STPケーブル & MSAU,IEEE802.5 トークンリングで使用するケーブルはSTPケーブル & MSAUです。論理トポロジーはリング型、物理トポロジーはスター型です。,ネットワーク基礎とOSI参照モデル
プロトコルとは何ですか？,コンピュータなどの機器同士で通信を行うために取り決められた約束ごと,プロトコルは、コンピュータ間でどのようにデータを送るのか、どれだけのデータを送るのかといったルールを定めたものです。,ネットワーク基礎とOSI参照モデル
プロトコルスタックとは何ですか？,通信に必要な複数のプロトコルを階層構造で構成するプロトコル群,プロトコルスタックは、Webサイト閲覧に必要なHTTP、TCP、IPなどのプロトコルを階層的にまとめたものです。,ネットワーク基礎とOSI参照モデル
現在最も主流な通信プロトコルは何ですか？,TCP/IP,TCP/IPは、LAN、WAN、インターネットなどで最も使用されているプロトコルです。,ネットワーク基礎とOSI参照モデル
コンピュータ間で通信するために必要なことは何ですか？,同じ体系の通信プロトコルを使用すること,異なるプロトコルを使用しているコンピュータ同士は、約束事が異なるため通信できません。,ネットワーク基礎とOSI参照モデル
プロトコルの標準化を推進する機関はどこですか？,ISO、ITU、IETF、IEEE、ANSI,これらの機関は、異なるメーカー機器同士の接続を可能にするためにプロトコルの標準化を推進しています。,ネットワーク基礎とOSI参照モデル
IETFとは何の略ですか？,The Internet Engineering Task Force,IETFはインターネット技術の標準を策定する組織で、RFCを発行しています。,ネットワーク基礎とOSI参照モデル
IEEEとは何の略ですか？,Institute of Electrical and Electronics Engineers,IEEEは世界規模の電気工学・電子工学の学会です。,ネットワーク基礎とOSI参照モデル
ANSIとは何の略ですか？,American National Standards Institute,ANSIは米国内の工業分野の標準化組織です。,ネットワーク基礎とOSI参照モデル
TCP/IPで使用されるプロトコルの例を３つ挙げてください。,"IP, TCP, HTTP","TCP/IPは多くのプロトコルを含んでおり、IP, TCP, HTTPなどがその例です。",ネットワーク基礎とOSI参照モデル
Netware OS環境のLANで主に使用されるプロトコルの体系は何ですか？,IPX/SPX,IPX/SPXは、Netware OS環境のLANで主に使用されるプロトコルの体系です。,ネットワーク基礎とOSI参照モデル
OSI参照モデルとは何ですか？,コンピュータなどの通信機器の通信機能を階層構造に分割したモデルです。,国際標準化機構（ISO）により策定され、通信プロトコルを7つの階層に分けて定義しています。,ネットワーク基礎とOSI参照モデル
OSI参照モデルが策定された背景は何ですか？,異なるベンダーのコンピュータ同士の通信を実現するためです。,以前は単一ベンダーの製品のみでネットワークが構成されており、相互接続性が課題でした。,ネットワーク基礎とOSI参照モデル
OSI参照モデルは何層で構成されていますか？,7層です。,第1層から第7層まであり、各層で異なる役割を担っています。,ネットワーク基礎とOSI参照モデル
OSI参照モデルの各層の呼び方で一般的なものは何ですか？,数値ではなく、「物理層」や「レイヤ1」のように呼ばれます。,各層は数値で呼ばれることもありますが、層の名前で呼ばれることが一般的です。,ネットワーク基礎とOSI参照モデル
カプセル化とは何ですか？,上位層の処理情報をヘッダとして下位層で包み込んでいくことです。,送信側でレイヤ7からレイヤ1の順に処理される際に、ヘッダが付加されていきます。,ネットワーク基礎とOSI参照モデル
非カプセル化とは何ですか？,下位層から上位層にいくにつれて各層のヘッダを取り外していくことです。,受信側でレイヤ1からレイヤ7の順に処理される際に、ヘッダが取り外されていきます。,ネットワーク基礎とOSI参照モデル
PDUとは何ですか？,コンピュータ間の通信で使用されるデータの単位のことです。,レイヤによってフレーム、パケット、セグメントなどと呼ばれます。,ネットワーク基礎とOSI参照モデル
レイヤ2、レイヤ3、レイヤ4におけるPDUの名称は何ですか？,レイヤ2：フレーム、レイヤ3：パケット、レイヤ4：セグメント,各レイヤでデータの単位が異なり、それぞれに名称が付けられています。,ネットワーク基礎とOSI参照モデル
ペイロードとは何ですか？,パケットやフレームなどのヘッダを取り除いたデータ部分のことです。,通信データのうち、ヘッダなどの制御情報を除いた実質的なデータ部分を指します。,ネットワーク基礎とOSI参照モデル
TCPにおけるPDUは何と呼ばれていますか？,セグメント,UDPの場合はデータグラムと呼ばれています。,ネットワーク基礎とOSI参照モデル
アプリケーション層の主な役割は何ですか？,利用するアプリケーションの通信サービスを実現するための規定を定義すること,アプリケーション層は、Webブラウザやメールソフトなど、アプリケーションごとに異なるプロトコルを使用し、ユーザーが直接接する部分の層です。,ネットワーク基礎とOSI参照モデル
プレゼンテーション層の役割は何ですか？,データの表現形式（圧縮、文字コード、暗号化など）を定義すること,プレゼンテーション層は、異なるコンピュータ間での文字化けを防ぐために、データの表現形式を標準化する役割を担っています。,ネットワーク基礎とOSI参照モデル
セッション層は何を管理しますか？,アプリケーション間でのセッションの確立、維持、終了,セッション層は、複数のアプリケーションが同時に通信する際に、それぞれの通信経路を制御し、データの混同を防ぎます。,ネットワーク基礎とOSI参照モデル
トランスポート層の主な機能は何ですか？,ノード間のデータ伝送における信頼性の提供とポート番号の割り当て,トランスポート層は、TCPを用いてコネクションを確立し、エラー制御やフロー制御を行うことで、信頼性の高いデータ伝送を実現します。,ネットワーク基礎とOSI参照モデル
ネットワーク層で重要な役割を果たす機器は何ですか？,ルータ,ルータは、IPアドレスに基づき、宛先コンピュータまでの最適なパスを選択してデータを送信する役割を担っています。この経路選択をルーティングと言います。,ネットワーク基礎とOSI参照モデル
データリンク層は、主にどのようなネットワークで使用されますか？,LAN（ローカルエリアネットワーク）,データリンク層は、LANにおけるノード間の通信をEthernetなどで実現し、MACアドレスを用いて通信を行います。,ネットワーク基礎とOSI参照モデル
物理層は何とも呼ばれますか？,PHY,物理層は、ネットワークの物理的な接続や伝送方式を規定し、電気信号とビット列の変換を行います。,ネットワーク基礎とOSI参照モデル
セッションとは何ですか？,通信の開始から終了までを管理する一つの単位,セッションが確立されると、通信で使用するアプリケーションがデータ転送可能な状態になります。,ネットワーク基礎とOSI参照モデル
コネクションとは何ですか？,セッションでデータ転送を行うための論理的な回線,コネクションは一般的に、トランスポート層のTCPコネクションを指します。,ネットワーク基礎とOSI参照モデル
ネットワーク層におけるルーティングとは何ですか？,宛先のコンピュータまでパケットを送信する時に、最適な経路を選択してパケット送信すること,ルーティングによって、ネットワーク層は効率的にデータを目的地まで届けることができます。,ネットワーク基礎とOSI参照モデル
コンピュータが内部で数値を表現する際に使用するものは？,2進数,コンピュータは内部で数値を表現する場合、2進数を使用します。,ネットワーク基礎とOSI参照モデル
人が日常使用している数値は何進数ですか？,10進数,人が日常使用している数値は10進数です。,ネットワーク基礎とOSI参照モデル
2進数とは、何種類の数字を用いて全ての数を表現しますか？,2種類,2進数とは、｢0」と「1」の2種類の数字を用いて全ての数を表現します。,ネットワーク基礎とOSI参照モデル
10進数の「2」は2進数でどのように表現されますか？,10,10進数の「2」は2進数で「10」と表現されます。,ネットワーク基礎とOSI参照モデル
10進数の「5」は2進数でどのように表現されますか？,101,10進数の「5」は2進数で「101」と表現されます。,ネットワーク基礎とOSI参照モデル
2進数を表現する時、一般的に何桁単位で表現しますか？,8桁,2進数を表現する時は一般的に8桁単位で表現します。,ネットワーク基礎とOSI参照モデル
2進数の「00001000」は10進数でいくつですか？,8,2進数の「00001000」は10進数で「8」です。,ネットワーク基礎とOSI参照モデル
2進数から10進数への変換方法は何ですか？,2進数で｢1」となっている桁に対応する10進数の基準値を合計する,2進数で｢1」となっている桁に対応する10進数の基準値を合計することにより、2進数から10進数の値を求めることができます。,ネットワーク基礎とOSI参照モデル
2進数の「00101010」を10進数に変換するといくつですか？,42,2進数の「00101010」は10進数では「42」です。,ネットワーク基礎とOSI参照モデル
10進数から2進数への変換方法は何ですか？,10進数の数値を「 0 」になるまで「 2 」で割り算していき、その結果の「余りの数 」を並べる,10進数の数値を「 0 」になるまで「 2 」で割り算していき、その結果の「余りの数 」を並べることで、ある10進数の値を2進数の値へ変換することができます。,ネットワーク基礎とOSI参照モデル
16進数の基数は何ですか？,16,16進数の基数は16です。16種類の数字を使用し、0〜9の数字とA〜Fのアルファベットで表現します。,ネットワーク基礎とOSI参照モデル
16進数で数値を区別するために、数値の先頭に何をつけますか？,0x,16進数では、10進数と区別するために、数値の先頭に「0x」をつけます。例えば、10進数の8は16進数では「0x8」となります。,ネットワーク基礎とOSI参照モデル
10進数の10は、16進数では何になりますか？,A,"10進数の10は、16進数ではAになります。16進数では、10から順にA, B, C, D, E, Fとアルファベットを使用します。",ネットワーク基礎とOSI参照モデル
2進数の数値を16進数の数値に変換するためには、最初に何をしますか？,2進数の数値を4桁の数値に分離する,2進数の数値を16進数の数値に変換するためには、まず2進数の数値を4桁の数値に分離します。これは16進数の1桁を2進数では4桁で表すためです。,ネットワーク基礎とOSI参照モデル
2進数の10110110を16進数に変換すると何になりますか？,0xB6,2進数の10110110を16進数に変換すると0xB6になります。4桁ずつ区切り、それぞれの10進数相当を16進数に変換します。,ネットワーク基礎とOSI参照モデル
16進数の数値を2進数の数値に変換するにはどうすればよいですか？,16進数の1桁を2進数の4桁に変換し、それらを並べる,16進数の数値を2進数の数値に変換するには、16進数の1桁を2進数の4桁に変換し、それらを並べることで2進数の数値を得ます。,ネットワーク基礎とOSI参照モデル
16進数の0xB6を2進数に変換すると何になりますか？,10110110,16進数の0xB6を2進数に変換すると10110110になります。各16進数の桁を4桁の2進数に変換し、連結します。,ネットワーク基礎とOSI参照モデル
10進数の数値を16進数の数値に変換するには、何を経由しますか？,2進数への変換,10進数の数値を16進数の数値に変換するためには、通常、まず10進数の数値を2進数の数値に変換し、次に2進数の数値を16進数の数値に変換します。,ネットワーク基礎とOSI参照モデル
10進数の160は、16進数では何になりますか？,0xA0,10進数の160は、16進数では0xA0になります。10進数を2進数に変換後、16進数に変換することで求められます。,ネットワーク基礎とOSI参照モデル
16進数から10進数に変換する場合、何を経由して数値を算出しますか？,2進数への変換,16進数から10進数に変換する場合も、通常は2進数への変換を経由して数値を算出します。16進数を2進数に変換し、その2進数を10進数に変換します。,ネットワーク基礎とOSI参照モデル
ユニキャストとはどのような通信方式ですか？,単一のアドレスを指定して1対1で行われるデータ通信です。,ユニキャストは、特定の相手に直接データを送るため、Webサイトの閲覧や電子メールの送受信など、最も一般的な通信方式として利用されます。,ネットワーク基礎とOSI参照モデル
マルチキャストとはどのような通信方式ですか？,特定のアドレスを指定して1対複数で行われるデータ通信です。,マルチキャストは、特定のグループにデータを送る際に効率的な通信方式で、ネットワーク上の動画配信などでよく使用されます。,ネットワーク基礎とOSI参照モデル
ブロードキャストとはどのような通信方式ですか？,同じデータリンク内の全宛先を指定して1対不特定多数で行われるデータ通信です。,ブロードキャストは、同一LAN内の全てのノードにデータを送る通信方式で、IPアドレスからMACアドレスを求めるARPや、IPアドレス取得のためのDHCPなどで利用されます。,ネットワーク基礎とOSI参照モデル
マルチキャストアドレスの範囲は？,224.0.0.0〜239.255.255.255,マルチキャスト通信では、この範囲の特殊なアドレスを使用して、特定のグループに所属する全てのPCにデータを送ります。,ネットワーク基礎とOSI参照モデル
ブロードキャストアドレスのホスト部は通常いくつになりますか？,255,ブロードキャストアドレスは、ホスト部が「255」となります。例えば「192.168.1.0/24」のネットワークでは192.168.1.255がブロードキャストアドレスです。,ネットワーク基礎とOSI参照モデル
ユニキャスト通信はどのような用途で利用されますか？,Webサイトの閲覧、電子メールの送受信など,ユニキャスト通信は、特定の相手先を指定して1対1で通信するため、最も標準的な通信として様々な用途で使用されます。,ネットワーク基礎とOSI参照モデル
マルチキャスト通信はどのような用途で利用されますか？,ネットワーク上の動画配信,マルチキャスト通信は、特定のグループにデータを効率的に送信できるため、動画配信などの用途に適しています。,ネットワーク基礎とOSI参照モデル
ブロードキャスト通信はどのような用途で利用されますか？,ARP、DHCP、ルーティング情報のアップデート,ブロードキャスト通信は、LAN内の全てのノードに情報を伝える必要がある場合に利用され、ネットワークの初期設定や管理に役立ちます。,ネットワーク基礎とOSI参照モデル
ブロードキャスト通信がルータ等のL3機器を超えることができない理由は？,ブロードキャスト通信は同一のLANでだけ配信されるため,ブロードキャスト通信は、ネットワーク全体に無秩序に拡散することを防ぐため、ルータなどの境界を越えて伝播しません。,ネットワーク基礎とOSI参照モデル
DHCPでIPアドレスを取得する際にLANで使用されるブロードキャストアドレスは何ですか？,255.255.255.255（リミテッドブロードキャストアドレス）,リミテッドブロードキャストアドレスは、ローカルネットワーク内の全てのホストにIPアドレスの要求を送信するために使用されます。,ネットワーク基礎とOSI参照モデル
マルチキャストとは何ですか？,特定の複数のノードに対して、1つのデータを同時に送信することです。,マルチキャストは、ビデオ配信やテレビ会議など、特定のグループに効率的にデータを送信するために使用されます。,ネットワーク基礎とOSI参照モデル
マルチキャストで使用されるIPアドレスの範囲は？,224.0.0.0 〜 239.255.255.255です。,この範囲のIPアドレスは、マルチキャストグループを識別するために予約されています。,ネットワーク基礎とOSI参照モデル
ユニキャスト、マルチキャスト、ブロードキャストの違いは何ですか？,ユニキャストは1対1、マルチキャストは1対複数、ブロードキャストは1対不特定多数の通信です。,それぞれの通信方式は、宛先の数とデータの送信方法が異なります。,ネットワーク基礎とOSI参照モデル
ユニキャスト伝送の欠点は何ですか？,送信元サーバの負荷と使用する帯域幅が非常に大きくなることです。,ストリーミング配信などで、受信者の数だけ同じデータを送信する必要があるためです。,ネットワーク基礎とOSI参照モデル
ブロードキャスト伝送の欠点は何ですか？,ネットワーク全体として負荷となり、不要なクライアントが無駄なCPU処理と帯域消費をすることです。,同一セグメント上の全てのクライアントがトラフィックを受信するためです。,ネットワーク基礎とOSI参照モデル
マルチキャスト伝送の利点は何ですか？,送信するパケットが1つでよい上に、データを受信したい特定のグループのホストだけが受信できることです。,ユニキャストやブロードキャスト伝送による問題点を解消できます。,ネットワーク基礎とOSI参照モデル
マルチキャストルーティングにおいて、非受信クライアントに対する無駄なトラフィック転送を防ぐ機能は何ですか？,IGMPスヌーピングです。,スイッチがIGMPパケットを盗み見することで、必要なクライアントにのみトラフィックを転送します。,ネットワーク基礎とOSI参照モデル
動画配信でマルチキャストが有効な理由は何ですか？,特定の複数クライアントに効率よくデータを送信できるため、サーバー負荷を軽減し、帯域を有効活用できるからです。,ユニキャストのように個別に送信する必要がなく、ブロードキャストのように不要な端末への送信も避けることができます。,ネットワーク基礎とOSI参照モデル
マルチキャストMACアドレスとは何ですか？,マルチキャストを受信するマルチキャストグループに対して、このMACアドレス宛のパケットが受信できるように設定されます。,特定のグループに属するホストが、そのグループ宛のデータを受信するために使用されます。,ネットワーク基礎とOSI参照モデル
Ciscoの音声システムでは、マルチキャストはどのような用途で利用されますか？,保留音の伝送などで利用されます。,保留音を複数の電話機に同時に配信するために、マルチキャストが使用されます。,ネットワーク基礎とOSI参照モデル
TCP/IPとは何の略ですか？,Transmission Control Protocol/Internet Protocol,TCP/IPは、インターネット通信およびイントラネット通信において最も利用されている通信プロトコルです。,TCP/IPプロトコル
TCP/IPの階層モデルは何層で構成されていますか？,4層,TCP/IPの階層モデルは、アプリケーション層、トランスポート層、インターネット層、ネットワークインターフェース層の4つで構成されています。,TCP/IPプロトコル
TCP/IPのアプリケーション層は、OSI参照モデルのどの層に相当しますか？,アプリケーション層、プレゼンテーション層、セッション層,TCP/IPのアプリケーション層は、OSI参照モデルのアプリケーション層、プレゼンテーション層、セッション層に相当します。,TCP/IPプロトコル
TCP/IPのトランスポート層で使用される主なプロトコルは何ですか？,TCPまたはUDP,TCP/IPのトランスポート層では、TCPまたはUDPのプロトコルを使用します。TCPは信頼性の高い通信、UDPは効率重視のデータ転送を実現します。,TCP/IPプロトコル
TCP/IPのインターネット層で代表的なプロトコルは何ですか？,IP,TCP/IPのインターネット層では、IPが代表的なプロトコルです。IPアドレスを割り当てることで、エンドツーエンドの通信を実現します。,TCP/IPプロトコル
TCP/IPのネットワークインターフェース層は、OSI参照モデルのどの層に相当しますか？,データリンク層と物理層,TCP/IPのネットワークインターフェース層は、OSI参照モデルのデータリンク層と物理層に相当します。,TCP/IPプロトコル
ネットワークインターフェース層で、LANプロトコルとして代表的なものは何ですか？,イーサネット,ネットワークインターフェース層では、LANプロトコルとしてイーサネットが代表的です。MACアドレスを割り当てることで、ローカルでのノード間の通信を実現します。,TCP/IPプロトコル
送信側のコンピュータでカプセル化が行われる際、データはどの順番で各層を通過しますか？,アプリケーション層 → トランスポート層 → インターネット層 → ネットワークインターフェース層,送信側のコンピュータでは、データはアプリケーション層から始まり、トランスポート層、インターネット層、ネットワークインターフェース層の順にカプセル化されます。,TCP/IPプロトコル
受信側のコンピュータで非カプセル化が行われる際、データはどの順番で各層を通過しますか？,ネットワークインターフェース層 → インターネット層 → トランスポート層 → アプリケーション層,受信側のコンピュータでは、データはネットワークインターフェース層から始まり、インターネット層、トランスポート層、アプリケーション層の順に非カプセル化されます。,TCP/IPプロトコル
Webサイトを参照するために使用されるアプリケーション層のプロトコルは何ですか？,HTTP,Webサイトを参照するためには、アプリケーション層ではHTTPプロトコルが使用されます。,TCP/IPプロトコル
IP（Internet Protocol）とは、OSI参照モデルの何層で動作するプロトコルですか？,ネットワーク層,IPはOSI参照モデルのネットワーク層で動作するプロトコルです。,TCP/IPプロトコル
IPアドレスの宛先情報は、IPヘッダのどこに含まれていますか？,IPヘッダ,IPアドレスの宛先情報はIPヘッダに含まれています。,TCP/IPプロトコル
IPヘッダの標準的なサイズは何バイトですか？,20バイト,IPヘッダの標準的なサイズは20バイトですが、オプションが追加された場合は最大60バイトになります。,TCP/IPプロトコル
IPヘッダのフィールドのうち、IPヘッダのバージョン番号の情報が含まれるフィールドは何ですか？,バージョン,IPヘッダのバージョンフィールドには、IPヘッダのバージョン番号の情報が含まれます。,TCP/IPプロトコル
IPヘッダのフィールドのうち、パケットの生存時間を示すフィールドは何ですか？,生存時間（TTL）,IPヘッダの生存時間（TTL）フィールドは、パケットの生存時間を示す情報です。ルータを通過するごとに値が減少し、0になるとパケットは破棄されます。,TCP/IPプロトコル
IPヘッダのフィールドのうち、上位層（トランスポート層）のプロトコルを示すフィールドは何ですか？,プロトコル,IPヘッダのプロトコルフィールドは、上位層（トランスポート層）のプロトコルが何であるかを示す情報です。例えば、TCPを使用する場合は「6」になります。,TCP/IPプロトコル
IPヘッダのフラグフィールドにおいて、パケットの分割（フラグメント）を許可しない場合、中央ビットの値は何になりますか？,1,IPヘッダのフラグフィールドの中央ビットが「1」の場合、パケットのフラグメントは許可されません。,TCP/IPプロトコル
IPヘッダのプロトコル番号で、TCPを表す番号は何番ですか？,6,IPヘッダのプロトコル番号で、TCPを表す番号は6番です。,TCP/IPプロトコル
IPプロトコルの特徴として、コネクションを確立しないでデータ伝送を開始する通信方式を何と言いますか？,コネクションレス型通信,IPプロトコルはコネクションレス型通信であり、事前にコンピュータ間でコネクションを確立せずにデータ伝送を開始します。,TCP/IPプロトコル
IPプロトコルの特徴として、最善の努力は尽くすが、必ずしも十分な品質を保証しない通信方式を何と言いますか？,ベストエフォート型通信,IPプロトコルはベストエフォート型通信であり、最善の努力は尽くしますが、必ずしも十分な品質を保証しません。ただし、上位層プロトコルにTCPを使用することで、パケット損失がないように見せることができます。,TCP/IPプロトコル
ARP（Address Resolution Protocol）とは、どのようなプロトコルですか？,IPアドレスからEthernetのMACアドレスの情報を得られるプロトコルです。,ARPは、LANに接続されたコンピュータ間で通信するために必要なMACアドレスを、IPアドレスから取得するために使用されます。,TCP/IPプロトコル
ARPリクエストは、どのように送信されますか？,同じセグメントの全ての端末にブロードキャストされます。,ARPリクエストは、MACアドレスを知りたいノードのIPアドレス情報を含み、ネットワーク上の全ノードに送信されます。,TCP/IPプロトコル
ARPリプライは、誰から誰に送信されますか？,ARPリクエストで探索されているIPアドレスを持つコンピュータから、ARPリクエストを送信したコンピュータに送信されます。,ARPリプライは、ARPリクエストに対する応答として、要求元のコンピュータにのみ送信されます。,TCP/IPプロトコル
コンピュータAが通信したい相手のIPアドレスが異なるネットワークにある場合、ARPリクエストで問い合わせるのは誰のMACアドレスですか？,デフォルトゲートウェイ（ルータ）のIPアドレスに対応するMACアドレスです。,異なるネットワークと通信する場合、コンピュータはまずデフォルトゲートウェイにパケットを送信する必要があるため、そのMACアドレスをARPで解決します。,TCP/IPプロトコル
RARP (Reverse Address Resolution Protocol) とは何をするプロトコルですか？,EthernetのMACアドレスからIPアドレスの情報を得ることのできるプロトコルです。,RARPは、ARPとは逆に、MACアドレスからIPアドレスを解決するために使用されます。,TCP/IPプロトコル
RARPは、どのような場合に使用されますか？,IPアドレスを持たないと通信できない機器であるにも関わらずIPアドレスの設定ができない（またはIPアドレスの設定が保存できない）機器がある場合に使用されます。,RARPは、起動時にIPアドレスを持たない機器が、自身のMACアドレスを使ってIPアドレスを取得するために使用されていました。,TCP/IPプロトコル
ARPリクエストの中には、何の情報が入っていますか？,MACアドレスを知りたいノードのIPアドレス情報,ARPリクエストには、目的のIPアドレスを持つデバイスのMACアドレスを問い合わせるための情報が含まれています。,TCP/IPプロトコル
ARPリプライを返答する際にL2スイッチを経由しても、送信元MACアドレスは変更されますか？,変更されない。,L2スイッチはMACアドレスに基づいてフレームを転送するため、送信元MACアドレスを変更することはありません。,TCP/IPプロトコル
